epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4372.19,0.95352,0.57749,1.06832,0.90277,0.88949,0.94545,0.66309,1.07395,0.60191,1.17034,0.000478762,0.000478762,0.000478762
74,4448.45,0.94706,0.57418,1.06624,0.87728,0.91012,0.9438,0.66461,1.07235,0.60136,1.1666,0.000462259,0.000462259,0.000462259
75,4523.66,0.94069,0.58001,1.06359,0.88095,0.91498,0.94857,0.6631,1.05559,0.59917,1.15236,0.000445756,0.000445756,0.000445756
76,4597.87,0.93684,0.57746,1.06394,0.90381,0.90339,0.94965,0.66354,1.07289,0.60371,1.17104,0.000429253,0.000429253,0.000429253
77,4671.55,0.93899,0.56406,1.05664,0.86,0.91877,0.95186,0.66861,1.05517,0.59964,1.15753,0.000412749,0.000412749,0.000412749
78,4746.44,0.93055,0.56476,1.05903,0.86821,0.91695,0.94739,0.66667,1.05153,0.59824,1.15647,0.000396246,0.000396246,0.000396246
79,4819.21,0.93081,0.56794,1.05898,0.88813,0.89014,0.94551,0.66799,1.05553,0.594,1.15905,0.000379743,0.000379743,0.000379743
80,4891.13,0.91225,0.55962,1.05362,0.89851,0.90093,0.94569,0.66338,1.05877,0.61844,1.15468,0.000363239,0.000363239,0.000363239
81,4967.56,0.92153,0.56296,1.0511,0.88866,0.91394,0.94671,0.65805,1.06877,0.60983,1.16352,0.000346736,0.000346736,0.000346736
82,5043.56,0.89149,0.53934,1.04287,0.89019,0.89984,0.94283,0.6643,1.05862,0.61892,1.15507,0.000330233,0.000330233,0.000330233
83,5116.97,0.89873,0.53779,1.04338,0.88792,0.90353,0.94428,0.66553,1.05516,0.60367,1.15371,0.000313729,0.000313729,0.000313729
84,5191.83,0.91092,0.55761,1.04979,0.89043,0.90728,0.94756,0.66415,1.0457,0.59697,1.15103,0.000297226,0.000297226,0.000297226
85,5267.9,0.90926,0.54745,1.04268,0.8853,0.90033,0.9419,0.66416,1.05438,0.60736,1.16314,0.000280723,0.000280723,0.000280723
86,5335.01,0.8874,0.53357,1.04323,0.88576,0.90804,0.94538,0.66442,1.04218,0.6065,1.1572,0.00026422,0.00026422,0.00026422
87,5397.88,0.89031,0.53624,1.03416,0.89662,0.90329,0.94367,0.66919,1.05098,0.60583,1.15783,0.000247716,0.000247716,0.000247716
88,5459.05,0.89194,0.53293,1.03836,0.893,0.90089,0.94295,0.6678,1.04933,0.60517,1.15224,0.000231213,0.000231213,0.000231213
89,5520.4,0.88974,0.52387,1.03991,0.89973,0.89888,0.94254,0.66654,1.05277,0.60736,1.15345,0.00021471,0.00021471,0.00021471
90,5583.09,0.87975,0.53489,1.03241,0.889,0.90943,0.94375,0.66621,1.0476,0.61206,1.14479,0.000198206,0.000198206,0.000198206
91,5734.99,0.84281,0.46614,1.01909,0.88539,0.90664,0.94607,0.66839,1.05196,0.60337,1.15082,0.000181703,0.000181703,0.000181703
92,5810.55,0.82087,0.44603,1.00437,0.91319,0.88663,0.948,0.67229,1.0563,0.60645,1.15638,0.0001652,0.0001652,0.0001652
93,5885.83,0.82551,0.44296,1.01591,0.90061,0.89292,0.94846,0.67557,1.04458,0.59919,1.14495,0.000148696,0.000148696,0.000148696
94,5962.07,0.81642,0.44323,0.99872,0.89233,0.89679,0.94651,0.67668,1.04378,0.59994,1.14119,0.000132193,0.000132193,0.000132193
95,6036.73,0.80581,0.4419,0.99935,0.89843,0.90819,0.95027,0.68055,1.0439,0.58556,1.14367,0.00011569,0.00011569,0.00011569
96,6111.84,0.79883,0.43107,0.99978,0.88917,0.91351,0.94802,0.67513,1.04319,0.5983,1.14233,9.91865e-05,9.91865e-05,9.91865e-05
97,6186.15,0.81039,0.42868,0.99416,0.893,0.90864,0.94836,0.6759,1.04613,0.59361,1.14761,8.26832e-05,8.26832e-05,8.26832e-05
98,6258.51,0.79373,0.42766,0.98895,0.89505,0.90541,0.94788,0.67771,1.04455,0.5919,1.14788,6.61799e-05,6.61799e-05,6.61799e-05
99,6333.11,0.79574,0.42656,0.99421,0.88998,0.91068,0.94888,0.67659,1.04489,0.58779,1.14939,4.96766e-05,4.96766e-05,4.96766e-05
100,6405.67,0.78834,0.42357,0.98744,0.90238,0.89399,0.94775,0.67729,1.04246,0.59391,1.14889,3.31733e-05,3.31733e-05,3.31733e-05
